編號,轄區分局,行政區,設置位置,拍攝行向,速限
1,"第一分局
第二分局","東區
中西區","北門路段(火車站前圓環至青年路)
自動辨識違規停車及不依標線行駛科技執法系統
【違規停車、違規臨時停車、違規占用機(慢)車優先道臨時停車及行駛等】",雙向,50
2,第二分局,中西區,"中華西路與府前路口
路口多功能違規科技執法系統
【闖紅燈、紅燈右轉、紅燈越線、未依標誌標線行駛等】",北向,60
3,永康分局,永康區,"中華路與中山南路口
路口多功能違規科技執法系統
【闖紅燈、紅燈右轉、紅燈越線、未依標誌標線行駛等】",北向,50
4,第一分局,東區,"中華東路與平實路口
路口多功能違規科技執法系統
【轉彎未依規定、違規迴轉等】",多向,60
5,歸仁分局,龍崎區,"【區間平均速率執法系統】
一、市道182線27.2248公里至28.358公里處(往高雄)，速限50公里，取締項目：超速，偵測長度：1133.2公尺。
二、市道182線28.3378公里至27.1907公里處(往關廟)，速限50公里，取締項目：超速，偵測長度：1147.1公尺。",雙向,50
6,第二分局,中西區,"中山路與西華南街口
路口多功能違規科技執法系統
【闖紅燈、紅燈越線、逆向行駛、機車行駛行穿道等】",多向,50
7,第五分局,北區,"北區臺南轉運站前公園路周邊路段
自動辨識違規停車及不依標線行駛科技執法系統
【違規停車、違規臨時停車、違規占用機(慢)車優先道臨時停車及行駛等】",雙向,50
8,永康分局,永康區,"中華路與中華一路口周邊路段(近兵仔市場)
【中華路東側自門牌96號至204號、中華路西側自門牌145號至213號】
自動辨識違規停車及不依標線行駛科技執法系統
【違規停車、違規臨時停車、違規占用機(慢)車優先道臨時停車及行駛等】",雙向,50
9,永康分局,永康區,"中華路與中正南路口
路口多功能違規科技執法系統
【闖紅燈、紅燈右轉、紅燈越線、未依標誌標線行駛等】",多向,50
10,第五分局,北區,"東豐路與林森路口
路口多功能違規科技執法系統
【闖紅燈、紅燈右轉、紅燈越線、未依標誌標線行駛、車輛未停讓行人、違規停車等】",多向,50
11,永康分局,永康區,"中華路與中央路口
【闖紅燈、紅燈右轉、紅燈越線、超速、未依標誌標線行駛等】",多向,50
12,第二分局,中西區,"中華西路二段與民權路口
【未依標誌標線行駛等】",多向,60
13,第二分局,中西區,"西門路與府前路口
【未依標誌標線行駛、車輛未停讓行人等】",多向,50
14,第五分局,北區,"海安路與公園南路口
【未依標誌標線行駛等】",多向,50
15,第五分局,北區,"中華北路與文賢路口
【未依標誌標線行駛、闖紅燈、超速等】",多向,60
16,第一分局,東區,"中華東路三段與崇明路口
【闖紅燈、紅燈右轉、紅燈越線、超速、未依標誌標線行駛、車輛未停讓行人等】",多向,60
17,新營分局,新營區,"長榮路與臺一線路口
【闖紅燈、紅燈越線、超速、未依標誌標線行駛等】",多向,70
18,永康分局,永康區,"中華路與大橋三街口
【闖紅燈、紅燈越線、紅燈右轉、未依標誌標線行駛等】",多向,50
19,新化分局,新化區,"中正路與中山路口
【車輛未停讓行人等】",多向,50
20,歸仁分局,仁德區,"中山路與文德路口
【闖紅燈、超速、紅燈右轉、紅燈越線、未依標誌標線行駛】",多向,50
21,永康分局,永康區,"中華路與中華西街口
【未依標誌標線行駛等】",多向,50
22,第一分局,東區,"東寧路與林森路口
【闖紅燈、紅燈越線、紅燈右轉、未依標誌標線行駛等】",多向,50
23,"第二分局
第六分局","中西區
南區","南門路與健康路口
【闖紅燈、紅燈右轉、紅燈越線、違規停車、未依標誌標線行駛、車輛未停讓行人等】",多向,50
24,"第二分局
第六分局","中西區
南區","西門路與健康路口
【闖紅燈、紅燈右轉、紅燈越線、違規停車等】",多向,50
25,第五分局,北區,"開元路與長榮路口
【闖紅燈、紅燈右轉、紅燈越線、未依標誌標線行駛等】",多向,50
26,第五分局,北區,"公園路與公園南路口
【未依標誌標線行駛、車輛未停讓行人等】",多向,50
27,第五分局,北區,"中華北路與觀海橋路口 
【未依標誌標線行駛等】",多向,60
28,第五分局,北區,"和緯路與海安路口
【未依標誌標線行駛、車輛未停讓行人等】 ",多向,50
29,歸仁分局,歸仁區,"高鐵臺南站U型車道
自動辨識違規停車及不依標線行駛科技執法系統
【違規停車、違規臨時停車等】",多向,50
30,第四分局,安平區,"中華西路與永華路口
【闖紅燈、超速、紅燈右轉、紅燈越線、未依標誌標線行駛等】",多向,60
31,第五分局,北區,"開元路與林森路口
【未依標誌標線行駛等】",多向,50
32,第一分局,東區,"東門路與林森路口
【未依標誌標線行駛等】",多向,50
33,永康分局,永康區,"近復興路與高速二街口
【未依標誌標線行駛等】",多向,50
34,善化分局,新市區,"臺一線與新港社大道
【闖紅燈、超速、紅燈右轉、紅燈越線、未依標誌標線行駛等】",雙向,70
35,善化分局,新市區,"臺19甲線與西拉雅大道
【闖紅燈、超速、紅燈右轉、紅燈越線、未依標誌標線行駛、車輛未停讓行人等】",多向,70
36,第二分局,中西區,"中成路與慈音街路口
【行經閃紅號誌路口未停車再開等】",多向,50
37,第五分局,北區,"公園路1092巷與公園路1074巷17弄路口
【闖紅燈】",多向,50
38,第一分局,東區,"中華東路二段41巷與富農街二段路口
【行經閃紅號誌路口未停車再開等】",多向,50
39,第五分局,北區,"西門路和公園南路口
【未依標誌標線行駛、車輛未停讓行人等】 ",多向,50
40,第五分局,北區,"西門路和和緯路口
【未依標誌標線行駛、車輛未停讓行人等】 ",多向,50
41,第五分局,北區,"公園路和北安路口
【未依標誌標線行駛、未停讓行人等】",多向,50
42,第五分局,北區,"中華北路和和緯路口
【闖紅燈、超速、紅燈右轉、紅燈越線、未依標誌標線行駛、未停讓行人等】",多向,60
43,第四分局,安平區,"安平區永華路二段和建平路口
【闖紅燈、超速、紅燈右轉、紅燈越線、未依標誌標線行駛、未停讓行人等】",多向,50
44,第一分局,東區,"東區林森路和崇善路口
【闖紅燈、超速、紅燈右轉、紅燈越線、未依標誌標線行駛、未停讓行人等】",多向,50
45,第一分局,東區,"東區東門路和崇學路口
【闖紅燈、紅燈右轉、紅燈越線、未依標誌標線行駛、未停讓行人等】",多向,50
46,歸仁分局,仁德區,"中山路與中正路三段路口
【未依標誌標線行駛、未停讓行人等】",多向,50
47,永康分局,永康區,"崑大路與大灣路口
【超速、未依標誌標線行駛、未停讓行人等】",多向,50
48,永康分局,永康區,"中正北路與王行路口
【闖紅燈、超速、紅燈右轉、紅燈越線、未依標誌標線行駛等】",雙向,70
49,善化分局,新市區,"樹谷大道與紫楝路口
【闖紅燈、超速、紅燈右轉、紅燈越線、未依標誌標線行駛等】",雙向,60
50,善化分局,善化區,"中正路66巷與建國路78巷口
【行經閃紅號誌路口未停車再開等】",多向,50
51,第二分局,中西區,"西門路與民權路口
【未依標誌標線行駛、未停讓行人等】",多向,50
52,第六分局,南區,"金華路與大成路口
【未依標誌標線行駛、未停讓行人等】",多向,50
53,第五分局,北區,"東豐路與長榮路口
【闖紅燈、超速、未依標誌標線行駛、不停讓行人等】",多向,50
54,第五分局,北區,"公園路與和緯路
【未依標誌標線行駛、不停讓行人等】",多向,50
55,第五分局,北區,"小東路與勝利路口
【闖紅燈、超速、未依標誌標線行駛、不停讓行人等】",多向,50
56,第五分局,北區,"西門路與北安路口
【闖紅燈、超速、未依標誌標線行駛、不停讓行人等】",多向,50
57,永康分局,永康區,"復興路與高速一街二段口
【闖紅燈、超速、未依標誌標線行駛等】",多向,50
58,永康分局,永康區,"中正北路與永安路口
【闖紅燈、超速、未依標誌標線行駛等】",多向,50
59,永康分局,永康區,"永安路與仁愛街口
【闖紅燈、超速、未依標誌標線行駛等】",多向,50
60,永康分局,永康區,"中正南(北)路與中正路口
【闖紅燈、超速、未依標誌標線行駛、不停讓行人等】",多向,50
61,第六分局,南區,"大成路與國民路口
【闖紅燈、超速、未依標誌標線行駛等】",多向,50
62,第六分局,南區,"金華路與健康路口
【未依標誌標線行駛、不停讓行人等】",多向,50
63,第六分局,南區,"中華西路與新興路口
【闖紅燈、超速、未依標誌標線行駛、不停讓行人等】",多向,60
64,第三分局,安南區,"長和路與永安橋路口
【闖紅燈、超速、未依標誌標線行駛等】",多向,50
65,第三分局,安南區,"北安路與怡安路口
【闖紅燈、超速、未依標誌標線行駛等】",多向,50
66,第三分局,安南區,"怡安路與長溪路口
【闖紅燈、超速等】",多向,50
67,第一分局,東區,"東門路與自由路口
【闖紅燈、超速、未依標誌標線行駛等】",多向,60
68,第一分局,東區,"大同路與國民路口
【闖紅燈、超速、未依標誌標線行駛、不停讓行人等】",多向,60
